"Template","Template Description","Complete Question","Date Question","Time Question","Location Question","Priority Question","Section","Section Position","Question","Question Type","Question Notes","Question Position","Question Code","Meta Data",,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"Type of disaster","String",,1,"72Bd.1",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"GPS coordinates","Numeric",,2,"72Bd.2",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"Geographic area","String",,3,"72B1.1",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"Geographic area approximate number of inhabitants","Numeric",,4,"72B1.2",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"Community assessed","String",,5,"72B2.1",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"Community assessed approximate number of inhabitants","Numeric",,6,"72B2.2",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"Name of assessment team leader","String",,7,"72B3",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"Name of contact person in the community and contact info:","String",,8,"72B4",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"Contact person contact info","Numeric",,9,"72B4.1",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"Date","Date",,10,"72B5",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"Time","Numeric",,11,"72B6",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Human",2,"Persons # Injured","Numeric",,12,"72B7.1","(Format, n)",,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Human",2,"Persons # Dead","Numeric",,13,"72B7.2","(Format, n)",,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Human",2,"Persons # Missing","Numeric",,14,"72B7.3","(Format, n)",,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Shelter",3,"Homes # affected","Numeric",,15,"72B8.1","(Format, n)",,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Shelter",3,"Homes # Minor damage","Numeric","Minor damage: Building can be safely occupied but needs minor repairs.",16,"72B8.2","(Format, n)",,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Shelter",3,"Homes # Moderate damage","Numeric","Moderate damage: Building cannot be safely occupied and requires major repairs.",17,"72B8.3","(Format, n)",,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Shelter",3,"Homes # Destroyed","Numeric","Destroyed: Obviously destroyed and requires rebuilding.",18,"72B8.4","(Format, n)",,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Human",2,"Currently known families displaced","Numeric",,19,"72B9.1","(Format, n)",,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Human",2,"Currently known families evacuated","Numeric",,20,"72B9.2","(Format, n)",,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Human",2,"Families displaced projected","Numeric","provide percentage if number is not possible within 4 hours",21,"72B9.3",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Human",2,"Families evacuated projected","Numeric","provide percentage if number is not possible within 4 hours",22,"72B9.4",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"How are the means of communication functioning? Land line, mobile phone, VHF, HF, etc.","String",,23,"72B10",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Background Info",1,"What are the climatic factors?","String",,24,"72B11.1",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Shelter",3,"Is the current shelter resistant to rain, wind, sun, cold?","String",,25,"72B11.2",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Shelter",3,"What is the physical status of existing structures?","String",,26,"72B11.3",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Shelter",3,"How many people lack adequate shelter?","Numeric",,27,"72B11.4","(Format, n)",,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Shelter",3,"What is the customary provision of clothing, blankets and bedding for women, men, children and infants, pregnant and lactating women, and older people?","String",,28,"72B11.5",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Risk",4,"What is the immediate risk to life?","String",,29,"72B11.6",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Risk",4,"How many are at risk?","Numeric",,30,"72B11.7","(Format, n)",,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Risk",4,"Which social groups are most at risk and why?","String",,31,"72B11.8",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Livelihoods",5,"What did a typical household used to have?","String",,32,"72B11.9",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Nutrition",6,"Is there enough food for the potential number of people potentially affected?","YesNo",,33,"72B12.1",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Nutrition",6,"Explain","String",,34,"72B12.1.1",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Nutrition",6,"Is food available in the disaster area? ","YesNo",,35,"72B12.2",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Nutrition",6,"What kind? ","String",,36,"72B12.2.1",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Nutrition",6,"Is there enough food for the potential number of people potentially affected?","YesNo",,37,"72B12.3",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Nutrition",6,"Explain","String",,38,"72B12.3.1",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Nutrition",6,"Is this food accessible to all the affected people, or do only a few have access?","String",,39,"72B12.4",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Nutrition",6,"Do people have access to cooking facilities? ","YesNo",,40,"72B12.5",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Nutrition",6,"Utensils:","Option",,41,"72B12.5.1","(Length, 3) (1, None) (2, Few) (3, Many)",,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Nutrition",6,"Fuel","Option",,42,"72B12.5.2","(Length, 3) (1, None) (2, Few) (3, Many)",3,1,"None",2,"Few"
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Nutrition",6,"Pots","Option",,43,"72B12.5.3","(Length, 3) (1, None) (2, Few) (3, Many)",3,1,"None",2,"Few"
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Nutrition",6,"Other","String",,44,"72B12.5.4",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Nutrition",6,"Do people have access to a safe place to prepare food and eat it?","YesNo",,45,"72B12.6",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Nutrition",6,"Describe","Text",,46,"72B12.6.1",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Nutrition",6,"What are people’s dietary habits (main food products they normally consume)?","String",,47,"72B12.7",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Nutrition",6,"Are there specific groups that face difficulties in obtaining food in this site?","String",,48,"72B12.8",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Nutrition",6,"If so, who and why?","String",,49,"72B12.8.1",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Health",7,"What was the health and nutritional situation of the people before the disaster? Explain:","String",,50,"72B13.1",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Health",7,"Is there a health emergency?","String",,51,"72B13.2",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Health",7,"What is its nature?","String",,52,"72B13.2.1",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Health",7,"How is it likely to evolve?","String",,53,"72B13.2.2",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Health",7,"How many people have been experiencing serious trauma or other psychological effects since the disaster?","Numeric",,54,"72B13.3","(Format, n)",,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Health",7,"Describe access and conditions to health facilities","String",,55,"72B13.4",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Health",7,"Is any disaster-related problem affecting: health facilities?","YesNo",,56,"72B13.5",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Health",7,"Equipment","YesNo",,57,"72B13.5.1",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Health",7,"Medicines","YesNo",,58,"72B13.5.2",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Health",7,"Consumables","YesNo",,59,"72B13.5.3",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Health",7,"Vaccines","YesNo",,60,"72B13.5.4",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Health",7,"Number of staff","YesNo",,61,"72B13.5.5",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Health",7,"What health activities should the Red Cross Red Crescent engage in to supply needs/resources?","String",,62,"72B13.6",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Health",7,"Number and kind of specific health target/vulnerable population","String",,63,"72B13.7",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Protection",8,"Are there any potential security threats?","YesNo",,64,"72B14.1",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Protection",8,"Have families been separated?","YesNo",,65,"72B14.2",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Protection",8,"Approximate number:","Numeric",,66,"72B14.2.1","(Format, n)",,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Protection",8,"Has registration of affected people been undertaken?","YesNo",,67,"72B14.3",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Protection",8,"Explain","String",,68,"72B14.3.1",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Protection",8,"Have families been separated? ","YesNo",,69,"72B14.4",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Protection",8,"Numbers:","Numeric",,70,"72B14.4.1","(Format, n)",,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Protection",8,"Locations:","String",,71,"72B14.4.2",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Protection",8,"Details of registration process:","String",,72,"72B14.4.3",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Protection",8,"Are there unaccompanied minors?","YesNo",,73,"72B14.4.4",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Protection",8,"Is there any need for restoring family links?","YesNo",,74,"72B14.5",,,,,,
